SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
AXP,USA,0,2025-10-17,,,,3.10,4.314,6.868,"5,453",20.13%,30.08%  (  -0.09%),21.95%,"272,734",7,4,4,88,Credit Services,"COF, 0.82(6M)"
SLB,,0,2025-10-17,,,,1.44,3.469,8.753,"5,064",26.03%,36.88%  (  -0.24%),31.73%,"801,314",10,5,5,70,Oil & Gas Equipment & Services,
SCHW,USA,0,2025-10-20,,,,6.34,5.246,0.000,"4,231",25.29%,30.32%  (  +0.14%),27.43%,"505,723",6,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
IBN,USA,0,2025-10-20,,,,3.22,0.715,0.000,"3,916",12.33%,18.92%  (  +0.19%),23.86%,"54,675",5,4,4,85,Banks - Regional,
GE,USA,0,2025-10-21,,,,7.55,5.795,0.000,"2,875",22.23%,30.24%  (  +0.91%),17.31%,"274,899",9,5,5,90,Aerospace & Defense,"MMM, 0.8(6M)"
VZ,USA,0,2025-10-21,,,,1.34,4.156,0.000,"17,727",14.06%,20.52%  (  -0.29%),23.23%,"1,092,710",7,4,4,90,Telecom Services,"T, 0.88(6M)"
PM,USA,0,2025-10-21,,,,6.52,4.608,0.000,"1,870",22.53%,27.53%  (  +0.46%),38.80%,"246,820",8,5,5,85,Tobacco,
GM,USA,0,2025-10-21,,,,0.30,6.126,0.000,"3,244",16.64%,29.56%  (  +0.81%),9.65%,"527,707",7,4,5,76,Auto Manufacturers,"TSLA, 0.83(6M)"
PHM,USA,0,2025-10-21,,,,1.48,5.338,0.000,918,31.22%,33.64%  (  -0.27%),15.79%,"46,582",7,5,4,70,Residential Construction,
NFLX,USA,0,2025-10-21,,,,12.47,7.632,6.545,"34,624",23.31%,31.63%  (  +1.56%),20.72%,"619,331",7,4,4,90,Entertainment,
ACI,USA,0,2025-10-21,,,,0.12,5.341,0.000,631,18.01%,29.69%  (  +0.35%),13.15%,"85,796",5,4,4,60,Grocery Stores,
IBKR,USA,0,2025-10-21,,,,2.94,6.111,0.000,"2,937",35.27%,39.57%  (  +0.45%),25.03%,"297,161",10,5,5,88,Capital Markets,
OMC,USA,0,2025-10-21,,,,0.91,5.275,0.000,"5,160",22.31%,34.64%  (  +1.11%),54.67%,"11,064",9,4,4,85,Advertising Agencies,
UAL,USA,0,2025-10-21,,,,0.58,8.326,0.000,"5,121",38.01%,49.01%  (  -0.06%),16.07%,"594,324",4,5,5,88,Airlines,"DAL, 0.94(6M)
RCL, 0.94(12M)"
BSX,USA,0,2025-10-22,,,,7.83,5.507,0.000,"2,399",17.09%,32.64%  (  +1.63%),44.27%,"258,759",9,5,5,90,Medical Devices,
GEV,USA,0,2025-10-22,,,,4.44,6.790,0.000,"5,445",37.41%,46.94%  (  +1.22%),11.28%,"189,696",6,4,4,85,Specialty Industrial Machinery,
APH,USA,0,2025-10-22,,,,7.93,8.704,0.000,823,25.27%,33.97%  (  -0.13%),36.35%,"122,564",8,5,5,92,Electronic Components,
T,USA,0,2025-10-22,,,,1.68,4.669,0.000,"19,085",16.42%,23.21%  (  +0.29%),25.67%,"1,175,690",10,5,5,85,Telecom Services,"VZ, 0.88(6M)"
IBM,USA,0,2025-10-22,,,,3.86,6.428,0.000,"16,244",21.63%,29.45%  (  +1.61%),28.74%,"417,334",8,4,4,85,Information Technology Services,"ORCL, 0.8(6M)"
SAP,USA,0,2025-10-22,,,,8.00,11.980,0.000,"1,049",25.55%,26.87%  (  +0.40%),17.99%,"42,951",8,4,5,88,Software - Application,
META,USA,0,2025-10-22,,,,10.93,7.974,6.054,"174,321",19.91%,27.29%  (  -0.77%),4.96%,"2,187,393",10,5,5,90,Internet Content & Information,
AR,USA,0,2025-10-22,,,,1.98,5.575,0.000,757,26.75%,40.88%  (  -0.74%),15.01%,"207,361",9,4,5,80,Oil & Gas E&P,
STX,Ireland,0,2025-10-22,,,,5.11,7.219,0.000,"1,797",30.66%,43.56%  (  -0.29%),30.43%,"191,314",9,4,4,85,Computer Hardware,
NEE,USA,0,2025-10-22,,,,5.79,4.106,0.000,"4,440",19.68%,25.92%  (  -0.16%),14.73%,"691,488",7,4,4,85,Utilities - Regulated Electric,"D, 0.85(6M)"
CLF,USA,0,2025-10-22,,,,0.31,9.153,0.000,"15,956",43.47%,62.13%  (  -0.54%),29.33%,"956,296",6,4,4,85,Steel,
SLM,USA,0,2025-10-22,,,,2.01,8.434,0.000,"2,803",34.51%,32.42%  (  -1.20%),22.02%,"54,288",7,5,5,70,Credit Services,
CC,USA,0,2025-10-22,,,,0.44,11.179,0.000,792,63.54%,51.92%  (  -3.69%),18.67%,"95,935",10,4,4,60,Specialty Chemicals,
BA,USA,0,2025-10-22,,,,2.15,5.230,0.000,"49,877",23.73%,31.57%  (  +0.27%),11.66%,"1,169,840",9,5,5,75,Aerospace & Defense,"EADSY, 0.8(6M)"
BCS,USA,0,2025-10-22,,,,1.99,3.255,0.000,970,18.31%,27.88%  (  +0.27%),1.93%,"126,025",9,4,4,82,Banks - Diversified,
FLG,USA,0,2025-10-22,,,,0.90,8.262,0.000,"1,054",28.88%,36.43%  (  +1.81%),14.99%,"541,876",8,4,4,60,Banks - Regional,
NLY,USA,0,2025-10-22,,,,2.13,2.404,0.000,"2,513",15.68%,25.93%  (  -2.23%),25.97%,"203,026",8,4,4,75,REIT - Mortgage,
BIIB,USA,0,2025-10-22,,,,2.18,5.441,0.000,"1,241",31.81%,33.00%  (  -0.73%),22.09%,"66,600",7,4,4,90,Drug Manufacturers - General,
UPWK,USA,0,2025-10-22,,,,3.37,14.861,0.000,"2,159",39.15%,46.12%  (  -0.38%),18.51%,"60,223",9,4,4,88,Internet Content & Information,
EQT,USA,0,2025-10-22,,,,4.19,5.032,0.000,"1,575",22.84%,35.67%  (  +0.28%),19.11%,"357,449",9,4,4,85,Oil & Gas E&P,
BMRN,USA,0,2025-10-22,,,,3.45,7.125,0.000,786,27.62%,37.03%  (  -1.60%),37.23%,"41,418",4,5,5,88,Biotechnology,
KO,USA,0,2025-10-22,,,,6.05,2.875,0.000,"17,861",12.00%,17.69%  (  -0.03%),20.28%,"733,361",10,5,5,75,Beverages - Non-Alcoholic,"PEP, 0.89(6M)"
NXT,USA,0,2025-10-22,,,,3.37,14.915,0.000,"4,590",62.20%,50.32%  (  +1.08%),14.36%,"167,338",6,4,5,85,Solar,
TMO,USA,0,2025-10-22,,,,4.23,4.518,0.000,851,24.32%,30.46%  (  +0.84%),28.71%,"101,522",8,5,5,85,Diagnostics & Research,
VKTX,USA,0,2025-10-22,,,,-,11.017,0.000,"9,255",167.49%,74.49%  (  +1.68%),14.69%,"311,308",6,5,5,72,Biotechnology,
VRT,USA,0,2025-10-22,,,,5.90,10.407,0.000,"11,025",44.89%,53.80%  (  +1.13%),11.12%,"670,846",7,5,5,88,Electrical Equipment & Parts,
VLO,USA,0,2025-10-23,,,,0.41,3.385,0.000,"1,364",20.26%,29.65%  (  +0.31%),7.49%,"168,718",8,4,4,78,Oil & Gas Refining & Marketing,
TMUS,USA,0,2025-10-23,,,,3.20,4.594,0.000,"1,062",18.24%,23.95%  (  +1.09%),23.41%,"141,203",5,4,4,90,Telecom Services,
NOK,USA,0,2025-10-23,,,,1.22,6.848,0.000,"3,926",23.14%,30.27%  (  -0.37%),4.84%,"307,419",7,5,5,65,Communication Equipment,
NEM,USA,0,2025-10-23,,,,4.35,5.503,0.000,"19,996",20.04%,34.31%  (  +1.02%),21.34%,"879,271",6,4,4,80,Gold,
TXRH,USA,0,2025-10-23,,,,1.85,6.368,0.000,949,24.14%,27.35%  (  +1.31%),22.72%,"16,773",5,4,4,85,Restaurants,
KVUE,USA,0,2025-10-23,,,,2.32,4.991,0.000,"49,418",37.30%,46.34%  (  +4.19%),73.24%,"1,689,154",8,4,4,50,Household & Personal Products,
MA,USA,0,2025-10-23,,,,17.42,2.950,0.000,"2,160",16.01%,20.95%  (  -0.32%),18.10%,"162,919",7,5,5,85,Credit Services,"V, 0.92(6M)"
HON,USA,0,2025-10-23,,,,3.30,4.169,0.000,"3,467",14.42%,21.07%  (  +1.08%),16.36%,"189,213",8,4,4,85,Conglomerates,"MMM, 0.84(6M)"
AMZN,USA,0,2025-10-23,,,,3.71,6.285,0.000,"230,635",24.39%,26.14%  (  -0.56%),7.91%,"4,266,438",10,5,5,88,Internet Retail,"EBAY, 0.82(6M)
GOOGL, 0.89(6M)"
PTEN,USA,0,2025-10-23,,,,0.41,12.638,0.000,742,41.15%,58.88%  (  +1.73%),27.62%,"86,948",5,4,4,60,Oil & Gas Drilling,
LHX,USA,0,2025-10-23,,,,2.48,5.862,0.000,816,11.99%,20.78%  (  -0.11%),11.02%,"19,754",6,5,5,90,Aerospace & Defense,
DXCM,USA,0,2025-10-23,,,,6.42,10.703,0.000,"28,784",41.97%,41.61%  (  +2.49%),27.34%,"184,172",6,5,5,85,Medical Devices,
STM,USA,0,2025-10-23,,,,2.07,10.217,0.000,908,36.24%,41.19%  (  +1.25%),11.89%,"130,645",5,4,4,70,Semiconductors,
MCD,USA,0,2025-10-23,,,,8.31,3.421,0.000,"7,962",12.44%,17.73%  (  -0.83%),11.93%,"240,966",9,4,4,70,Restaurants,"YUM, 0.83(6M)"
VLY,USA,0,2025-10-23,,,,1.74,8.572,0.000,"3,875",27.85%,31.54%  (  +2.55%),11.64%,"107,933",6,4,5,80,Banks - Regional,
CMS,USA,0,2025-10-23,,,,2.61,4.910,0.000,"2,796",12.38%,17.72%  (  +0.36%),33.12%,"9,143",6,4,4,80,Utilities - Regulated Electric,"ALE, 0.83(6M)"
SPGI,USA,0,2025-10-23,,,,10.50,3.919,0.000,"1,450",23.23%,21.97%  (  -1.30%),19.77%,"31,229",9,5,5,85,Financial Data & Stock Exchanges,
GILD,USA,0,2025-10-23,,,,4.88,4.805,0.000,"3,240",29.12%,26.64%  (  +0.94%),27.13%,"208,738",8,5,5,85,Drug Manufacturers - General,
INSM,USA,0,2025-10-23,,,,76.79,8.802,0.000,"1,341",34.54%,37.37%  (  +0.73%),6.71%,"111,984",8,5,5,90,Biotechnology,
COF,USA,0,2025-10-23,,,,2.55,5.338,0.000,"2,756",24.39%,29.74%  (  +1.10%),11.37%,"170,351",9,5,5,65,Credit Services,"AXP, 0.82(6M)"
AAPL,USA,0,2025-10-23,,,,8.81,4.194,0.000,"896,951",23.49%,21.74%  (  -0.42%),11.72%,"5,924,918",7,4,4,88,Consumer Electronics,"MSFT, 0.85(6M)
NVDA, 0.88(6M)"
WDC,USA,0,2025-10-23,,,,2.77,6.497,0.000,"9,425",29.20%,48.01%  (  +1.66%),43.19%,"523,301",8,5,5,85,Computer Hardware,
BTU,USA,0,2025-10-23,,,,0.67,7.444,0.000,"14,489",48.43%,53.82%  (  -2.17%),34.13%,"305,372",10,4,5,75,Thermal Coal,
WY,USA,0,2025-10-23,,,,2.48,5.667,0.000,529,30.03%,29.21%  (  -0.44%),30.81%,"41,538",8,5,5,65,REIT - Specialty,
AMT,USA,0,2025-10-23,,,,8.82,5.882,0.000,536,20.01%,24.19%  (  +0.04%),21.01%,"63,213",9,5,5,80,REIT - Specialty,
XOM,USA,0,2025-10-24,,,,1.47,2.403,0.000,"17,027",17.07%,20.87%  (  -0.28%),9.36%,"1,098,515",7,4,5,85,Oil & Gas Integrated,"CVX, 0.88(6M)"
ABBV,USA,0,2025-10-24,,,,6.73,4.455,0.000,"6,213",16.41%,19.74%  (  -1.44%),6.13%,"360,488",10,4,4,85,Drug Manufacturers - General,
CVX,USA,0,2025-10-24,,,,1.70,2.536,0.000,"10,598",18.53%,20.81%  (  -0.12%),12.40%,"731,553",9,4,5,85,Oil & Gas Integrated,"XOM, 0.88(6M)"
AON,Ireland,0,2025-10-24,,,,4.51,5.491,0.000,772,17.51%,21.84%  (  +0.08%),27.74%,"12,108",9,4,4,90,Insurance Brokers,
KDP,USA,0,2025-10-27,,,,2.34,5.316,0.000,"1,699",43.43%,27.56%  (  +1.28%),58.71%,"252,324",6,4,5,85,Beverages - Non-Alcoholic,
NUE,USA,0,2025-10-27,,,,0.99,5.141,0.000,"2,479",28.75%,31.49%  (  -0.09%),5.88%,"104,359",8,5,4,85,Steel,
FTAI,Cayman Islands,0,2025-10-27,,,,8.40,10.240,0.000,952,32.65%,43.22%  (  -0.29%),5.54%,"60,640",7,5,5,85,Rental & Leasing Services,
AGNC,USA,0,2025-10-27,,,,4.86,3.868,0.000,"34,543",16.41%,21.07%  (  -0.69%),14.18%,"1,009,949",8,4,4,55,REIT - Mortgage,
CDNS,USA,0,2025-10-27,,,,19.62,8.068,0.000,"1,126",34.89%,32.02%  (  +0.09%),14.95%,"51,900",5,5,5,88,Software - Application,
UNH,USA,0,2025-10-28,,,,0.72,5.235,0.000,"80,478",44.60%,34.94%  (  -0.53%),27.08%,"1,941,060",9,5,5,55,Healthcare Plans,
PYPL,USA,0,2025-10-28,,,,2.02,8.274,0.000,"44,664",23.82%,30.49%  (  -0.36%),8.55%,"1,518,539",6,4,4,90,Credit Services,
CX,USA,0,2025-10-28,,,,0.89,2.353,0.000,520,19.60%,32.54%  (  -4.44%),0.00%,"128,324",8,4,4,78,Building Materials,
HSBC,USA,0,2025-10-28,,,,1.68,1.515,0.000,763,17.02%,19.15%  (  -0.62%),13.52%,"111,910",9,4,4,85,Banks - Diversified,
EA,USA,0,2025-10-28,,,,5.79,5.402,0.000,"2,490",23.95%,28.37%  (  -0.19%),34.09%,"84,973",6,4,4,80,Electronic Gaming & Multimedia,
MTDR,USA,0,2025-10-28,,,,1.52,8.781,0.000,"2,609",34.92%,44.09%  (  +1.11%),26.75%,"57,839",7,5,5,0,Oil & Gas E&P,
LMT,USA,0,2025-10-28,,,,1.53,4.469,0.000,"1,473",14.55%,22.19%  (  +0.99%),21.39%,"137,959",9,4,4,65,Aerospace & Defense,"NOC, 0.84(6M)"
ARCC,USA,0,2025-10-28,,,,5.01,3.973,0.000,515,16.05%,17.71%  (  +1.21%),17.01%,"163,790",7,5,5,85,Asset Management,
DHR,USA,0,2025-10-28,,,,5.81,5.575,0.000,748,24.98%,30.01%  (  -0.28%),24.31%,"92,357",8,5,5,78,Diagnostics & Research,
GOOGL,USA,0,2025-10-28,,,,8.23,6.240,0.000,"102,540",30.36%,28.64%  (  -0.90%),21.65%,"3,809,682",9,5,5,85,Internet Content & Information,"AMZN, 0.89(6M)"
PNR,Ireland,0,2025-10-28,,,,4.41,6.658,0.000,"4,168",25.73%,22.62%  (  -0.72%),14.45%,"13,396",7,4,4,88,Specialty Industrial Machinery,
MSFT,USA,0,2025-10-28,,,,13.54,4.235,0.000,"162,847",14.47%,19.63%  (  -0.69%),8.90%,"2,551,406",10,5,5,88,Software - Infrastructure,"AAPL, 0.85(6M)"
FI,USA,0,2025-10-28,,,,3.40,5.585,0.000,"2,366",17.45%,36.12%  (  +2.09%),48.14%,"129,050",7,5,5,75,Information Technology Services,
V,USA,0,2025-10-28,,,,16.83,3.345,0.000,"7,914",16.43%,21.13%  (  -0.30%),19.39%,"402,334",10,5,5,85,Credit Services,"MA, 0.92(6M)"
HAL,USA,0,2025-10-28,,,,0.86,4.866,0.000,"7,484",31.62%,37.95%  (  -0.95%),30.31%,"606,443",9,4,5,70,Oil & Gas Equipment & Services,
GOOG,USA,0,2025-10-28,,,,8.24,6.261,0.000,"68,802",29.78%,28.55%  (  -0.63%),21.91%,"1,748,410",5,5,5,85,Internet Content & Information,
MMM,USA,0,2025-10-28,,,,3.35,6.498,0.000,867,22.54%,29.29%  (  +0.97%),22.29%,"183,044",6,4,4,75,Conglomerates,"GE, 0.8(6M)"
RTX,USA,0,2025-10-28,,,,2.51,4.453,0.000,"1,329",16.66%,22.66%  (  +0.36%),15.02%,"211,037",7,4,4,85,Aerospace & Defense,
SPOT,Luxembourg,0,2025-10-28,,,,8.20,9.995,0.000,"4,605",25.80%,39.50%  (  +0.18%),22.15%,"163,460",8,4,4,80,Internet Content & Information,
UPS,USA,0,2025-10-28,,,,0.80,6.860,0.000,"35,688",17.91%,28.76%  (  -1.25%),20.97%,"690,243",8,4,4,65,Integrated Freight & Logistics,"FDX, 0.9(6M)"
TXN,USA,0,2025-10-28,,,,9.74,5.124,0.000,"7,514",26.15%,32.13%  (  +1.52%),18.83%,"316,018",5,4,4,78,Semiconductors,
PSX,USA,0,2025-10-29,,,,0.39,3.234,0.000,600,20.75%,27.99%  (  -0.42%),14.87%,"92,054",9,4,4,80,Oil & Gas Refining & Marketing,
GSK,USA,0,2025-10-29,,,,2.00,4.665,0.000,"1,269",18.33%,25.56%  (  -0.64%),27.82%,"108,966",8,4,4,85,Drug Manufacturers - General,
CVS,USA,0,2025-10-29,,,,0.25,7.396,0.000,"9,936",23.97%,29.86%  (  +0.49%),20.12%,"693,686",7,5,5,80,Healthcare Plans,"WBA, 0.84(6M)"
CMG,USA,0,2025-10-29,,,,4.56,7.927,0.000,"26,416",21.97%,33.44%  (  -0.47%),24.71%,"1,335,090",6,5,5,65,Restaurants,
DT,USA,0,2025-10-29,,,,8.29,9.374,0.000,"2,353",28.20%,33.80%  (  +1.56%),26.48%,"50,587",9,5,5,90,Software - Application,
DD,USA,0,2025-10-29,,,,2.59,5.771,0.000,"1,452",20.70%,27.80%  (  +1.77%),19.78%,"110,077",7,5,4,80,Specialty Chemicals,
ROKU,USA,0,2025-10-29,,,,3.37,14.342,0.000,"6,840",34.63%,46.55%  (  -0.20%),13.64%,"274,884",8,4,4,85,Entertainment,
PINS,USA,0,2025-10-29,,,,6.20,13.233,0.000,"3,884",41.71%,35.61%  (  -0.58%),10.72%,"432,724",9,5,5,88,Internet Content & Information,
AMSC,USA,0,2025-10-29,,,,11.06,19.010,0.000,648,63.11%,70.79%  (  -0.18%),24.16%,"30,381",7,4,4,85,Specialty Industrial Machinery,
MKSI,USA,0,2025-10-29,,,,2.28,8.774,0.000,783,43.20%,45.85%  (  +0.63%),14.43%,"5,098",9,5,4,85,Scientific & Technical Instruments,
ZETA,USA,0,2025-10-29,,,,4.36,18.270,0.000,"5,833",53.49%,68.53%  (  -0.18%),21.71%,"252,954",9,5,5,85,Software - Infrastructure,
AIG,USA,0,2025-10-29,,,,1.54,4.214,0.000,"1,709",17.43%,21.35%  (  +0.20%),14.82%,"106,994",7,4,4,85,Insurance - Diversified,
MGM,USA,0,2025-10-29,,,,0.57,7.282,0.000,"2,379",29.29%,35.19%  (  -0.28%),14.80%,"203,928",8,4,4,80,Resorts & Casinos,
TTMI,USA,0,2025-10-29,,,,2.01,13.245,0.000,882,56.35%,54.71%  (  +0.69%),42.63%,"13,536",8,5,5,88,Electronic Components,
GNRC,USA,0,2025-10-29,,,,2.41,8.968,0.000,600,27.28%,36.40%  (  -0.40%),25.13%,"62,680",9,4,4,85,Specialty Industrial Machinery,
Z,USA,0,2025-10-29,,,,8.85,9.370,0.000,"1,346",42.21%,37.07%  (  +0.56%),16.38%,"182,049",6,4,4,90,Internet Content & Information,
ET,USA,0,2025-10-29,,,,0.74,3.711,0.000,"14,151",12.13%,17.72%  (  +0.92%),8.54%,"1,067,566",9,5,5,72,Oil & Gas Midstream,
PCG,USA,0,2025-10-29,,,,1.33,3.655,0.000,"6,400",31.00%,38.05%  (  +1.93%),43.19%,"2,560,797",5,5,5,70,Utilities - Regulated Electric,
APO,USA,0,2025-10-29,,,,3.21,5.748,0.000,948,21.64%,33.09%  (  +0.40%),10.54%,"389,475",8,5,5,85,Asset Management,
REZI,USA,0,2025-10-29,,,,0.84,11.256,0.000,"2,888",45.97%,41.78%  (  +1.03%),26.47%,"10,839",9,5,4,90,Industrial Distribution,
CGNX,USA,0,2025-10-29,,,,8.30,10.634,0.000,779,29.41%,36.68%  (  +0.33%),27.98%,"44,058",7,4,4,80,Scientific & Technical Instruments,
CORT,USA,0,2025-10-29,,,,11.60,16.823,0.000,777,35.62%,47.36%  (  -0.17%),15.37%,"21,144",10,5,5,80,Biotechnology,
EBAY,USA,0,2025-10-29,,,,3.93,6.590,0.000,"4,512",26.78%,28.22%  (  +0.47%),27.74%,"207,373",5,4,4,90,Internet Retail,
CRSP,Switzerland,0,2025-10-29,,,,152.40,1.794,0.000,"5,684",48.08%,61.60%  (  -0.65%),39.51%,"166,717",8,4,4,0,Biotechnology,
NCLH,Bermuda,0,2025-10-29,,,,1.18,7.501,0.000,"7,668",38.23%,43.57%  (  -0.88%),14.89%,"501,857",10,5,4,85,Travel Services,
ELF,USA,0,2025-10-29,,,,6.13,14.402,0.000,"3,254",55.72%,52.75%  (  -0.06%),12.45%,"157,539",9,5,5,85,Household & Personal Products,
HOOD,USA,0,2025-10-29,,,,30.23,11.066,0.000,"225,910",57.06%,56.81%  (  -1.09%),13.45%,"2,473,011",7,4,4,90,Capital Markets,
GDDY,USA,0,2025-10-29,,,,4.25,6.627,0.000,950,41.42%,27.56%  (  +0.84%),20.81%,"12,185",9,4,4,80,Software - Infrastructure,
GEHC,USA,0,2025-10-29,,,,1.72,6.624,0.000,569,28.42%,27.70%  (  -0.10%),14.08%,"80,479",9,5,4,78,Medical Devices,
SAN,USA,0,2025-10-29,,,,1.24,5.105,0.000,"1,724",20.44%,28.52%  (  -4.56%),6.42%,"66,937",5,4,4,0,Banks - Diversified,
AUR,USA,0,2025-10-29,,,,10933.59,15.422,0.000,"1,978",40.75%,68.90%  (  -2.03%),12.51%,"255,881",4,4,5,75,Information Technology Services,
CI,USA,0,2025-10-30,,,,0.30,5.367,0.000,781,16.66%,26.78%  (  -0.35%),25.61%,"87,724",6,5,5,80,Healthcare Plans,
CMCSA,USA,0,2025-10-30,,,,0.94,5.306,0.000,"9,579",18.07%,27.46%  (  +0.38%),30.27%,"836,254",8,4,4,75,Telecom Services,
SHEL,USA,0,2025-10-30,,,,0.75,2.326,0.000,997,11.63%,19.22%  (  -0.15%),16.05%,"244,352",7,4,4,85,Oil & Gas Integrated,
