SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
GEV,USA,292.74,2025-04-23,39.07,18.35,2.31,8.763,13.901,"3,162",65.40%,65.92%  (  +2.71%),87.27%,"132,794",7,5,5,80
DFS,USA,165.62,2025-04-23,45.36,7.18,1.76,3.771,16.231,713,49.89%,73.50%  (  -1.34%),97.58%,"43,926",5,4,4,85
CMG,USA,49.35,2025-04-23,41.58,1.48,5.91,8.148,9.913,"8,803",31.98%,44.85%  (  +1.22%),71.80%,"908,206",5,5,5,85
IBM,USA,249.11,2025-04-23,49.91,6.70,3.68,6.193,9.104,"6,098",27.18%,41.63%  (  +0.93%),100.00%,"279,607",8,4,4,85
APH,USA,65.22,2025-04-23,46.64,2.19,5.19,7.267,10.761,"1,669",37.67%,37.95%  (  +1.42%),76.07%,"68,860",9,5,4,88
LRCX,USA,71.18,2025-04-23,36.50,2.87,5.64,3.717,11.195,"4,698",46.34%,51.94%  (  +2.56%),75.16%,"519,117",7,5,5,82
MAT,USA,19.42,2025-04-22,39.67,0.49,1.17,8.642,10.564,56,22.85%,35.00%  (  +0.39%),44.84%,"11,994",9,4,4,80
NLY,USA,20.25,2025-04-23,33.56,0.43,1.84,2.212,4.548,"2,798",20.77%,22.44%  (  -1.87%),21.62%,"108,152",8,5,5,80
HUM,USA,263.24,2025-04-23,47.93,8.03,0.27,6.711,17.826,"1,235",34.35%,79.84%  (  +1.58%),100.00%,"149,113",6,4,4,70
RJF,USA,136.22,2025-04-23,33.59,3.90,1.82,6.159,10.237,16,29.06%,34.75%  (  +1.32%),87.32%,"11,435",5,4,4,80
WSC,USA,27.55,2025-05-01,33.13,1.28,2.11,8.934,0.000,16,49.84%,48.17%  (  +5.68%),54.47%,"141,073",6,4,4,65
PTC,USA,152.77,2025-05-07,32.30,3.76,7.95,6.793,0.000,251,21.86%,29.95%  (  +3.29%),58.03%,"8,158",8,4,5,75
SLM,USA,28.80,2025-04-23,43.32,0.97,2.00,8.187,11.261,74,28.39%,40.08%  (  +2.30%),46.96%,"52,211",10,5,5,78
TEL,Ireland,140.94,2025-04-23,37.93,3.60,2.65,5.615,8.462,200,24.84%,30.05%  (  +0.83%),80.18%,"8,638",8,4,4,75
META,USA,559.93,2025-04-23,33.55,23.15,8.62,8.394,9.324,"161,614",37.85%,47.67%  (  +3.71%),79.00%,"1,941,885",10,5,5,84
NSC,USA,233.43,2025-04-23,43.67,4.82,4.36,4.122,5.620,33,21.39%,28.78%  (  +0.39%),69.36%,"16,669",8,4,4,80
TMO,USA,491.77,2025-04-23,28.68,11.35,4.33,4.079,6.826,"2,954",20.10%,31.74%  (  +0.63%),100.00%,"42,238",8,5,5,79
ALKS,Ireland,32.78,2025-05-07,40.39,1.00,3.42,9.416,0.000,25,23.70%,40.55%  (  +2.53%),67.63%,"7,875",8,4,4,82
BSX,USA,99.40,2025-04-23,46.11,2.38,8.78,5.753,6.787,"2,062",28.01%,31.88%  (  -0.14%),73.85%,"203,600",10,5,5,88
BA,USA,171.00,2025-04-23,49.40,6.18,1.93,5.109,8.597,"34,248",42.81%,40.31%  (  +2.17%),57.36%,"1,000,535",7,4,4,50
CDE,USA,5.84,2025-05-07,45.51,0.37,3.59,15.020,0.000,"3,438",68.32%,66.40%  (  +1.96%),34.45%,"185,810",9,5,5,80
VRT,USA,70.04,2025-04-23,32.02,6.48,3.33,10.541,18.490,"11,941",81.77%,86.29%  (  +4.96%),89.03%,"514,789",6,5,5,90
BMRN,USA,70.26,2025-04-23,49.92,1.78,4.72,7.718,9.959,213,26.83%,32.68%  (  +1.79%),39.11%,"35,476",7,5,5,88
HAS,USA,60.88,2025-04-23,46.88,1.54,2.05,9.114,10.250,807,43.31%,34.22%  (  +1.29%),45.30%,"39,488",9,5,5,75
STX,Ireland,83.75,2025-04-22,30.22,2.75,2.21,7.174,10.211,"3,726",32.07%,47.66%  (  +2.33%),93.94%,"115,366",5,4,4,82
OMF,USA,47.92,2025-04-29,39.99,1.83,1.00,8.163,11.623,87,39.84%,40.27%  (  +1.25%),84.10%,"44,623",6,4,5,70
NOW,USA,762.71,2025-04-23,30.89,31.75,14.39,6.608,10.685,"4,154",44.11%,50.91%  (  +5.32%),100.00%,"87,250",7,5,5,88
CBRE,USA,129.49,2025-04-24,44.21,3.95,1.09,6.942,10.630,25,34.78%,38.26%  (  +1.41%),95.59%,"19,500",6,4,4,85
VLY,USA,8.77,2025-04-24,39.35,0.26,1.38,10.783,11.102,84,26.77%,41.13%  (  +1.56%),32.53%,"17,587",10,4,4,75
NDAQ,USA,74.66,2025-04-24,41.40,1.67,5.81,5.387,8.115,228,25.77%,29.05%  (  +3.34%),73.76%,"32,357",9,4,4,85
MRK,USA,89.00,2025-04-24,40.31,2.19,3.51,4.285,7.415,"10,707",24.49%,33.47%  (  -0.54%),97.16%,"599,514",8,4,4,75
AUB,USA,30.45,2025-04-24,25.88,0.91,2.04,15.462,19.221,5,22.38%,63.65%  (  -7.78%),80.40%,555,8,4,4,75
UNP,USA,234.46,2025-04-24,42.33,4.20,5.79,3.214,5.621,325,18.94%,26.50%  (  +0.62%),93.20%,"99,316",9,4,4,85
SKX,USA,55.86,2025-04-24,37.75,2.06,0.93,10.335,14.297,65,38.34%,47.02%  (  +2.28%),88.99%,"48,291",6,5,5,85
WY,USA,29.32,2025-04-24,45.38,0.65,2.99,5.267,8.478,115,24.87%,28.68%  (  +0.73%),72.85%,"23,843",9,5,5,70
DXCM,USA,67.31,2025-04-24,30.99,2.71,6.52,10.100,9.558,400,41.92%,51.82%  (  +2.43%),48.20%,"113,528",9,5,5,80
SM,USA,29.79,2025-05-01,41.18,1.29,1.27,8.246,0.000,73,51.20%,51.08%  (  +0.89%),67.36%,"22,866",7,4,4,85
DLR,USA,140.61,2025-05-01,33.95,4.85,8.52,4.447,0.000,"2,502",35.26%,39.11%  (  +2.05%),91.95%,"59,819",9,4,5,92
FTV,USA,71.83,2025-04-23,32.43,1.52,3.92,6.067,8.512,4,21.26%,28.45%  (  +1.50%),54.02%,"1,517",5,4,4,85
AMZN,USA,185.18,2025-04-29,32.03,6.47,3.08,7.251,10.061,"237,444",31.39%,41.44%  (  +4.72%),73.04%,"3,631,878",9,5,5,85
RCL,Liberia,199.48,2025-04-24,35.04,10.45,3.26,5.936,10.350,"2,462",54.29%,51.31%  (  +3.69%),87.59%,"141,716",8,5,5,90
