SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
LEGN,USA,33.98,2025-03-11,40.92,1.89,11.98,10.361,11.520,36,71.15%  (  +2.96%),50.69%,52.04%,"8,072",9,5,4,70
FERG,USA,168.48,2025-03-11,36.07,4.74,1.13,6.293,8.720,105,43.15%  (  +1.70%),100.00%,27.37%,"9,248",,5,5,75
DKS,USA,212.12,2025-03-11,34.58,7.93,1.29,9.679,10.871,"10,358",55.32%  (  +0.12%),81.50%,33.48%,"53,465",8,5,5,85
S,USA,19.9,2025-03-12,28.80,0.91,8.30,15.492,14.279,"7,021",70.48%  (  +0.13%),59.23%,36.77%,"178,778",6,4,4,75
RBRK,USA,61.56,2025-03-13,35.16,4.24,14.19,13.880,20.922,"2,845",99.95%  (  +4.86%),100.00%,52.63%,"34,537",6,5,5,75
JBL,USA,141.56,2025-03-13,25.23,4.73,0.56,9.320,13.106,"2,433",49.26%  (  +1.29%),97.90%,35.92%,"36,657",7,5,5,80
STNE,Cayman Islands,9.13,2025-03-18,45.33,0.40,2.75,10.284,12.910,"8,196",62.70%  (  -16.33%),31.49%,40.33%,"149,876",4,4,4,85
CNM,USA,47.42,2025-03-19,26.07,1.57,1.31,11.130,9.366,221,56.52%  (  +4.05%),79.01%,24.55%,"9,671",6,4,4,72
OLLI,USA,103.39,2025-03-19,48.41,3.84,2.81,9.602,10.862,273,54.80%  (  -0.23%),99.16%,39.43%,"14,681",6,4,4,85
MU,USA,91.2,2025-03-20,44.27,5.21,3.49,11.304,13.976,"361,398",69.22%  (  +0.18%),87.82%,61.71%,"1,604,561",7,5,5,70
ACN,Ireland,345.78,2025-03-20,28.36,8.39,3.26,6.067,9.236,"4,054",36.66%  (  -0.23%),81.28%,24.96%,"71,403",10,4,4,78
OKLO,USA,30.92,2025-03-24,40.48,5.31,-,10.810,28.125,"52,672",134.84%  (  -6.86%),50.94%,165.56%,"319,761",7,5,4,78
CHWY,USA,34.32,2025-03-26,38.94,1.71,1.22,13.550,15.845,"72,137",68.24%  (  -5.23%),33.56%,34.89%,"232,458",9,5,5,75
BRZE,USA,35.86,2025-03-26,32.66,1.86,6.58,16.016,18.419,315,63.53%  (  +1.89%),59.76%,45.69%,"10,974",5,5,5,78
LULU,USA,345.29,2025-04-01,30.54,13.26,4.30,9.874,10.129,"18,434",58.69%  (  +2.64%),88.15%,32.77%,"166,532",9,4,4,88
CCL,Panama,21.91,2025-04-01,30.73,1.12,1.13,8.400,12.100,"135,132",57.23%  (  +1.09%),88.73%,43.93%,"1,117,773",6,4,5,75
STZ,USA,172.56,2025-04-03,42.02,5.10,3.06,3.710,0.000,"6,956",35.74%  (  +0.77%),100.00%,28.19%,"92,926",10,4,4,70
LEVI,USA,16.55,2025-04-03,36.48,0.69,1.03,7.756,14.955,971,44.85%  (  +2.33%),66.54%,38.18%,"35,629",9,4,4,78
DAL,USA,54.69,2025-04-09,27.29,2.53,0.57,6.093,0.000,"76,154",50.68%  (  -2.52%),90.24%,38.52%,"729,870",7,5,5,85
JPM,USA,250.25,2025-04-11,35.29,6.46,2.48,3.236,0.000,"111,473",30.22%  (  +3.41%),87.60%,23.69%,"691,344",8,4,5,88
MS,USA,121.72,2025-04-11,31.67,4.13,1.86,3.448,0.000,"47,431",35.89%  (  +3.39%),92.80%,28.89%,"535,359",4,4,4,85
WFC,USA,73.3,2025-04-11,35.56,2.07,1.91,4.088,0.000,"162,692",36.03%  (  +4.73%),92.90%,22.38%,"1,073,246",7,4,4,80
BK,USA,85.54,2025-04-11,48.33,1.91,1.54,4.484,0.000,"9,123",30.90%  (  +3.96%),100.00%,18.24%,"77,192",7,4,4,85
STT,USA,91.7,2025-04-11,30.22,2.49,1.25,5.230,0.000,"1,964",33.45%  (  +0.64%),93.87%,24.43%,"31,877",5,4,4,85
GS,USA,581.14,2025-04-14,33.12,18.62,1.44,3.705,0.000,"53,866",35.68%  (  +3.11%),100.00%,25.77%,"233,184",8,4,4,82
MTB,USA,181.32,2025-04-14,28.40,4.45,2.22,4.436,0.000,455,33.88%  (  +4.20%),79.48%,20.04%,"9,302",6,4,4,78
PNC,USA,180.45,2025-04-15,30.86,4.61,2.11,3.861,0.000,"2,142",29.48%  (  +2.95%),74.76%,21.77%,"47,742",8,4,4,80
BAC,USA,42.67,2025-04-15,34.18,1.22,1.63,3.660,0.000,"300,543",35.46%  (  +6.91%),100.00%,27.02%,"2,521,741",9,5,5,82
C,USA,72.35,2025-04-15,31.72,2.52,0.80,3.596,0.000,"227,150",36.11%  (  +4.02%),86.39%,31.09%,"1,703,448",4,5,5,85
CFG,USA,43.59,2025-04-16,36.48,1.38,1.53,4.379,0.000,"14,657",36.04%  (  +2.25%),67.35%,23.98%,"65,007",5,4,4,80
USB,USA,44.61,2025-04-16,34.22,1.12,1.65,3.938,0.000,"16,976",28.33%  (  +1.23%),36.59%,20.78%,"214,169",4,4,5,80
BKR,USA,42.86,2025-04-16,38.02,1.37,1.52,6.602,0.000,"4,769",34.22%  (  +1.74%),80.22%,31.91%,"128,191",8,5,5,88
ASML,USA,708.22,2025-04-16,43.28,23.33,8.99,6.032,0.000,"17,238",41.36%  (  +0.95%),54.11%,37.38%,"153,279",7,4,4,85
STLD,USA,126.37,2025-04-16,42.40,4.56,1.08,5.917,0.000,900,39.50%  (  +0.31%),59.88%,31.66%,"33,841",10,4,4,80
KMI,USA,26.99,2025-04-16,48.99,0.74,3.98,2.685,0.000,"15,586",31.18%  (  +1.64%),100.00%,35.43%,"582,405",9,4,4,80
THC,USA,122.67,2025-04-16,35.68,6.17,0.56,9.405,0.000,834,46.92%  (  +2.96%),62.37%,45.15%,"26,178",5,5,5,85
SNV,USA,48.87,2025-04-16,28.63,1.66,2.01,3.398,0.000,312,39.50%  (  +1.10%),55.45%,24.90%,"9,742",9,4,4,75
DFS,USA,178.83,2025-04-16,36.66,6.76,1.90,3.771,0.000,"3,548",51.82%  (  +10.12%),84.18%,34.10%,"40,341",6,4,4,80
AA,USA,31.15,2025-04-16,29.83,1.54,0.66,4.278,0.000,"14,099",55.64%  (  +1.11%),76.00%,45.84%,"258,860",4,4,5,73
LBRT,USA,15.54,2025-04-16,28.60,0.85,0.58,5.345,0.000,340,49.11%  (  +1.59%),80.44%,51.65%,"36,122",7,4,4,72
NDAQ,USA,78.76,2025-04-16,42.20,1.84,6.12,5.387,0.000,"9,050",26.11%  (  +1.02%),86.84%,21.00%,"42,528",9,4,4,77
EFX,USA,243.13,2025-04-16,40.53,6.24,5.31,5.463,0.000,118,34.55%  (  +1.67%),61.32%,33.28%,"5,557",6,5,5,70
AXP,USA,283.47,2025-04-17,31.32,7.95,2.68,4.644,0.000,"25,296",33.67%  (  +4.06%),91.52%,22.43%,"209,152",7,4,4,85
KEY,USA,16.24,2025-04-17,34.86,0.56,1.96,4.626,0.000,"8,488",36.51%  (  +5.94%),54.51%,28.19%,"204,768",5,4,4,70
TFC,USA,43.76,2025-04-17,35.08,1.13,2.33,3.911,0.000,"35,158",30.93%  (  +3.82%),63.43%,20.62%,"183,833",4,4,4,70
HBAN,USA,15.51,2025-04-17,33.85,0.44,1.90,3.546,0.000,"1,137",34.57%  (  +4.27%),75.17%,22.17%,"72,242",7,4,4,80
RF,USA,22.36,2025-04-17,30.98,0.59,2.16,4.331,0.000,"1,326",36.96%  (  +5.36%),82.71%,22.04%,"103,331",6,4,4,80
FITB,USA,41.63,2025-04-17,35.19,1.01,1.99,4.115,0.000,"7,368",32.33%  (  +3.71%),70.57%,19.09%,"76,279",5,4,4,80
IRDM,USA,30.04,2025-04-17,47.38,1.16,3.94,11.000,0.000,283,48.07%  (  +4.01%),34.70%,54.83%,"22,084",8,5,4,80
FCX,USA,34.9,2025-04-17,35.30,1.42,1.99,3.841,0.000,"54,955",41.28%  (  -1.83%),68.72%,35.58%,"1,047,100",5,4,4,80
DHR,USA,205.91,2025-04-17,36.89,5.20,6.16,4.766,0.000,"4,746",27.59%  (  +1.20%),72.63%,34.80%,"113,503",7,4,4,70
TSM,USA,180.0,2025-04-17,36.70,7.80,10.37,3.013,0.000,"320,565",45.23%  (  -1.27%),48.66%,57.98%,"1,626,990",10,5,5,85
ISRG,USA,557.96,2025-04-17,39.88,16.25,23.83,5.903,0.000,"4,540",31.17%  (  +1.41%),62.18%,24.95%,"73,856",8,5,5,78
BANC,USA,14.22,2025-04-17,30.98,0.47,1.27,9.683,0.000,997,43.68%  (  +4.59%),55.54%,26.49%,"19,895",8,5,5,75
NUE,USA,129.51,2025-04-17,43.69,4.73,0.97,5.085,0.000,"7,605",41.35%  (  +3.37%),90.83%,33.20%,"127,586",8,4,4,80
INFY,USA,19.71,2025-04-17,20.33,0.38,4.28,4.935,0.000,"7,560",32.37%  (  -0.40%),70.84%,15.08%,"97,331",7,4,4,88
PNR,Ireland,89.67,2025-04-17,25.28,2.30,3.62,6.385,0.000,"2,338",25.99%  (  +2.32%),41.31%,20.72%,"8,255",5,4,4,80
UNP,USA,241.52,2025-04-17,44.97,4.56,6.07,3.214,0.000,"9,145",23.15%  (  +1.89%),64.71%,21.95%,"92,575",9,4,4,88
ALK,USA,65.3,2025-04-17,36.65,3.06,0.68,7.083,0.000,"21,214",54.65%  (  +2.65%),100.00%,42.83%,"135,007",9,5,5,85
HOMB,USA,28.98,2025-04-17,40.82,0.69,3.93,8.284,0.000,2,39.24%  (  +9.22%),51.96%,20.49%,"1,177",8,4,4,80
KNX,USA,47.88,2025-04-17,28.76,1.58,1.05,7.766,0.000,632,40.19%  (  -0.22%),83.49%,28.13%,"22,606",7,4,4,70
PPG,USA,109.29,2025-04-17,33.70,2.64,1.42,3.979,0.000,666,28.69%  (  +3.67%),89.09%,28.65%,"40,971",9,4,4,80
BX,USA,150.73,2025-04-17,31.30,5.61,14.74,4.033,0.000,"21,149",39.58%  (  +2.97%),100.00%,30.42%,"275,226",8,4,4,90
ALLY,USA,34.85,2025-04-17,33.71,1.20,0.65,6.757,0.000,"4,125",37.37%  (  -0.77%),52.42%,31.39%,"115,671",9,4,4,70
SLB,,39.08,2025-04-18,38.52,1.25,1.46,3.361,0.000,"94,635",31.77%  (  -0.72%),49.22%,28.95%,"638,808",4,4,5,80
HCA,USA,312.05,2025-04-18,45.45,10.12,1.10,8.224,0.000,830,34.97%  (  +0.17%),65.86%,38.41%,"48,365",8,4,4,80
