SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
REXR,USA,40.23,2025-04-16,47.54,0.99,9.83,3.774,0.000,22,34.09%  (  -0.09%),59.86%,22.77%,"7,574",7,4,4,75
HBAN,USA,14.76,2025-04-17,26.50,0.44,1.81,3.546,0.000,199,35.80%  (  -0.18%),81.57%,22.74%,"74,331",6,4,4,80
KEY,USA,15.39,2025-04-17,27.63,0.56,1.85,4.626,0.000,"2,153",37.16%  (  -0.36%),57.14%,27.18%,"205,739",4,4,4,70
RF,USA,21.58,2025-04-17,25.46,0.60,2.09,4.331,0.000,384,36.28%  (  +0.76%),79.35%,21.22%,"103,672",6,4,4,78
AXP,USA,266.15,2025-04-17,23.41,8.05,2.52,4.644,0.000,"7,532",33.72%  (  +0.82%),91.80%,22.49%,"219,405",7,4,4,85
FITB,USA,39.01,2025-04-17,24.12,1.07,1.88,4.115,0.000,483,34.39%  (  +1.72%),83.38%,20.26%,"81,286",5,4,4,80
TFC,USA,41.23,2025-04-17,25.90,1.19,2.20,3.911,0.000,"2,044",31.22%  (  -1.56%),65.03%,21.15%,"224,510",5,4,4,70
TSM,USA,172.65,2025-04-17,34.15,7.58,9.94,3.013,0.000,"63,990",46.75%  (  -0.07%),53.94%,57.89%,"1,706,269",10,5,5,85
ALK,USA,58.03,2025-04-17,28.18,3.18,0.61,7.083,0.000,"1,285",57.33%  (  +1.22%),100.00%,46.42%,"147,046",8,5,5,85
WAL,USA,75.74,2025-04-17,29.52,3.28,1.67,6.749,0.000,131,47.68%  (  -1.44%),73.30%,38.54%,"36,903",8,5,5,75
NUE,USA,131.93,2025-04-17,47.96,4.55,0.99,5.085,0.000,"2,351",43.05%  (  +0.35%),99.42%,32.91%,"138,394",8,4,4,80
FCX,USA,36.30,2025-04-17,44.61,1.57,2.08,3.841,0.000,"16,379",43.28%  (  +0.96%),80.43%,44.18%,"1,102,134",5,4,4,78
INFY,USA,19.75,2025-04-17,26.94,0.39,4.29,4.935,0.000,"2,974",32.32%  (  +1.23%),70.63%,14.76%,"86,642",8,4,4,88
BANC,USA,13.47,2025-04-17,24.33,0.47,1.20,9.683,0.000,270,46.53%  (  -3.48%),64.65%,26.67%,"19,858",8,5,5,70
HOMB,USA,28.33,2025-04-17,35.05,0.67,3.84,8.284,0.000,5,41.80%  (  +2.57%),56.35%,20.43%,"1,179",7,4,4,80
ISRG,USA,504.98,2025-04-17,27.78,18.38,21.56,5.903,0.000,"4,752",37.11%  (  +3.42%),89.75%,31.30%,"78,541",9,5,5,78
BX,USA,140.35,2025-04-17,25.24,5.68,13.71,4.033,0.000,"10,292",44.45%  (  +2.32%),100.00%,32.44%,"292,506",7,4,4,88
PNR,Ireland,86.98,2025-04-17,24.92,2.31,3.51,6.385,0.000,143,29.55%  (  +1.03%),59.39%,20.99%,"10,318",5,4,4,79
IRDM,USA,30.23,2025-04-17,48.55,1.06,3.96,11.000,0.000,580,46.57%  (  -0.75%),31.49%,53.86%,"22,641",8,5,4,80
DHR,USA,211.71,2025-04-17,47.67,5.38,6.34,4.766,0.000,"3,734",26.97%  (  -0.51%),68.72%,35.39%,"117,006",7,4,4,70
ALLY,USA,33.47,2025-04-17,30.37,1.25,0.63,6.757,0.000,"1,129",41.09%  (  -2.37%),66.65%,28.85%,"118,921",9,4,4,70
KNX,USA,46.45,2025-04-17,28.36,1.65,1.02,7.766,0.000,161,40.73%  (  +1.36%),86.07%,27.14%,"24,248",6,4,4,70
PPG,USA,114.46,2025-04-17,47.80,2.78,1.49,3.979,0.000,141,27.29%  (  -2.84%),80.17%,30.71%,"45,216",9,4,4,80
IBN,USA,27.60,2025-04-21,38.89,0.39,2.89,3.890,0.000,346,24.04%  (  +0.95%),76.50%,19.11%,"89,915",8,4,4,
FNB,USA,13.46,2025-04-21,25.98,0.39,1.88,4.130,0.000,2,45.01%  (  -23.76%),35.79%,23.84%,"4,266",8,5,5,87
SCHW,USA,73.07,2025-04-21,31.63,2.13,5.24,4.958,0.000,"5,893",33.44%  (  +2.02%),60.71%,23.61%,"478,710",10,4,4,80
12:02:53,,,,,,,,,,,,,,,,,
