SMBL,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IvRank,Iv %ile,Scr,Rank,Rank+,Er #
ACN,348.5,2025-03-20,29.06,8.45,3.28,6.067,10.371,6469.0,77.28%,99%,8,4,4,78
LUNR,14.58,2025-03-24,36.02,2.10,10.74,17.449,35.679,87105.0,61.62%,90%,7,4,4,70
BRZE,36.98,2025-03-26,33.28,1.82,6.79,16.016,16.807,,,,4,5,5,78
CCL,23.93,2025-03-26,40.59,1.03,1.24,8.400,11.639,32795.0,72.51%,86%,7,4,5,75
LULU,365.61,2025-03-20,39.61,12.13,4.56,9.874,8.981,10421.0,76.02%,88%,9,4,4,88
LEVI,17.97,2025-04-02,48.28,0.66,1.12,7.756,0.000,,,,7,4,4,75
STZ,175.5,2025-04-10,45.79,5.16,3.11,3.710,0.000,15325.0,100.00%,100%,10,4,4,70
DAL,60.12,2025-04-09,37.62,2.32,0.63,6.093,0.000,22130.0,66.35%,91%,7,5,5,85
MS,133.11,2025-04-15,47.58,3.49,2.03,3.448,0.000,19393.0,56.21%,85%,5,4,4,85
JPM,264.65,2025-04-11,49.98,5.62,2.62,3.236,0.000,83453.0,47.12%,73%,8,4,5,88
PNC,191.92,2025-04-15,45.74,3.97,2.24,3.861,0.000,,,,8,4,4,80
CFG,45.77,2025-04-16,47.91,1.23,1.61,4.379,0.000,,,,6,4,4,80
LBRT,17.27,2025-04-16,39.22,0.79,0.65,5.345,0.000,,,,6,4,4,72
EFX,245.2,2025-04-16,42.60,6.43,5.35,5.463,0.000,,,,7,5,5,70
SNV,51.88,2025-04-16,39.24,1.44,2.13,3.398,0.000,,,,9,4,4,75
AA,33.25,2025-04-16,36.56,1.40,0.70,4.278,0.000,14794.0,51.20%,59%,5,4,5,73
ASML,709.08,2025-04-16,42.62,21.62,9.00,6.032,0.000,19723.0,31.85%,41%,9,4,4,85
FNB,14.84,2025-04-16,42.92,0.35,2.06,4.130,0.000,,,,8,5,5,88
OMC,82.76,2025-04-15,42.88,1.80,1.04,3.757,0.000,,,,8,4,4,88
UNH,474.96,2025-04-15,36.32,16.33,1.09,4.588,0.000,36087.0,60.45%,85%,8,5,5,76
IBKR,204.4,2025-04-15,42.75,8.49,9.20,4.558,0.000,,,,7,5,5,92
UAL,93.81,2025-04-15,38.48,4.61,0.54,6.531,0.000,55097.0,82.80%,94%,9,5,5,85
