SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BOX,USA,32.25,2025-05-27,63.67,0.64,1.40%,4.28,9.813,9.303,888,28.71%,32.53%  (  -5.71%),49.70%,"35,164",8,4,4,75,Software - Infrastructure,
ANF,USA,79.66,2025-05-28,59.20,3.91,-35.12%,0.77,13.229,15.638,"2,473",80.80%,80.20%  (  +1.62%),75.93%,"139,451",9,4,4,80,Apparel Retail,
DKS,USA,179.05,2025-05-28,41.52,11.09,-15.57%,1.07,9.955,9.897,"41,137",85.60%,53.41%  (  -1.96%),52.25%,"72,619",9,4,4,85,Specialty Retail,
S,USA,20.12,2025-05-28,62.39,0.73,-11.28%,8.07,14.847,12.211,"2,855",61.96%,61.49%  (  +1.02%),54.29%,"189,834",7,5,4,78,Software - Infrastructure,
A,USA,112.40,2025-05-28,54.49,3.98,-14.90%,4.91,7.474,9.355,"4,477",52.24%,34.61%  (  -3.84%),37.06%,"35,591",8,4,5,75,Diagnostics & Research,
NVDA,USA,134.83,2025-05-28,72.55,5.42,7.58%,25.20,9.229,9.735,"3,473,038",76.60%,51.36%  (  -1.42%),31.78%,"23,341,701",9,5,5,87,Semiconductors,
CRM,USA,290.76,2025-05-28,65.83,7.83,-1.17%,7.36,7.799,8.515,"24,244",47.40%,43.05%  (  -0.11%),60.42%,"536,229",6,4,4,85,Software - Application,"ORCL, 0.81(12M)"
SNPS,USA,514.48,2025-05-28,72.61,14.86,3.52%,13.11,8.904,8.745,757,53.68%,35.34%  (  +0.18%),27.21%,"36,279",8,5,5,80,Software - Infrastructure,
CRDO,Cayman Islands,59.58,2025-06-04,73.00,3.58,24.03%,30.89,21.846,22.664,"2,501",106.53%,92.46%  (  +1.64%),52.72%,"96,387",5,5,5,80,Semiconductors,
LULU,USA,318.96,2025-06-04,68.78,11.71,1.39%,3.77,9.756,10.902,"6,877",60.35%,53.24%  (  +0.33%),57.44%,"187,161",9,4,4,78,Apparel Retail,
CRWD,USA,431.84,2025-06-03,57.73,18.48,26.51%,27.21,9.624,10.809,"26,357",67.13%,51.00%  (  +0.68%),43.53%,"416,945",5,5,5,85,Software - Infrastructure,
HPE,USA,17.62,2025-06-03,63.03,0.63,-8.59%,0.74,9.193,10.531,"9,525",78.76%,51.21%  (  -0.25%),45.87%,"611,094",7,4,4,78,Communication Equipment,
RBRK,USA,85.52,2025-06-05,78.29,3.72,57.43%,18.31,19.038,19.160,"4,026",71.34%,73.56%  (  -1.08%),41.54%,"48,942",6,5,5,75,Software - Infrastructure,
GTLB,USA,51.81,2025-06-02,60.15,2.41,-5.95%,11.28,15.728,14.549,"3,706",74.22%,71.78%  (  +1.66%),67.60%,"109,344",5,5,5,78,Software - Infrastructure,
ASO,USA,45.49,2025-06-10,63.31,2.09,-10.27%,0.51,9.674,12.113,508,96.49%,54.74%  (  -0.58%),51.92%,"35,527",6,4,4,70,Specialty Retail,
CHWY,USA,41.47,2025-06-11,74.26,1.58,27.75%,1.45,12.474,12.617,"35,219",44.73%,55.55%  (  -3.23%),18.97%,"273,792",10,5,4,85,Internet Retail,
ADBE,USA,404.69,2025-06-12,70.07,9.27,-13.12%,7.83,7.904,9.535,"25,414",36.72%,41.99%  (  -0.53%),69.09%,"335,730",6,4,4,85,Software - Application,
KR,USA,67.60,2025-06-19,41.79,1.79,11.14%,0.30,5.659,0.000,"15,255",32.05%,23.76%  (  -0.13%),27.66%,"248,114",8,4,4,78,Grocery Stores,
UEC,USA,5.62,2025-06-06,58.56,0.30,-10.30%,36.05,6.243,13.345,"2,678",60.75%,60.16%  (  +0.76%),36.52%,"243,885",6,4,4,0,Uranium,
ORCL,USA,159.40,2025-06-10,64.93,5.03,-0.62%,8.01,8.738,10.330,"41,689",56.74%,47.76%  (  +0.45%),62.25%,"772,095",5,4,4,90,Software - Infrastructure,"MSFT, 0.86(6M)"
CCL,Panama,23.00,2025-06-24,73.24,0.94,8.05%,1.18,7.658,0.000,"44,350",81.63%,38.81%  (  -0.27%),12.89%,"1,334,863",6,4,4,85,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
DRI,USA,209.00,2025-06-19,62.94,4.99,17.65%,2.08,5.712,0.000,"1,986",30.97%,30.43%  (  +0.19%),49.86%,"36,162",7,4,4,80,Restaurants,
ACN,Ireland,323.21,2025-06-20,65.98,7.36,-5.65%,3.01,6.507,0.000,"5,114",37.47%,24.86%  (  +1.83%),26.77%,"94,157",8,4,4,80,Information Technology Services,
FDX,USA,231.11,2025-06-24,59.71,7.14,-12.62%,0.63,9.046,0.000,"10,461",58.61%,28.50%  (  -0.66%),21.98%,"180,825",8,4,4,79,Integrated Freight & Logistics,
MU,USA,95.45,2025-06-25,68.35,4.25,0.49%,3.41,11.387,0.000,"136,048",99.49%,48.38%  (  +1.50%),23.27%,"2,040,023",9,5,5,83,Semiconductors,
NKE,USA,62.40,2025-06-26,57.97,2.20,-15.95%,1.92,8.788,0.000,"81,802",70.15%,32.88%  (  +0.49%),29.17%,"1,920,662",9,4,4,65,Footwear & Accessories,"UA, 0.88(6M)"
LEVI,USA,17.51,2025-06-25,64.02,0.65,-0.48%,1.09,11.877,0.000,"1,682",80.05%,30.37%  (  -1.13%),10.99%,"105,250",8,5,4,78,Apparel Manufacturing,
10:10:35 PM,,,,,,,,,,,,,,,,,,,,
