SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
FIVE,USA,143.61,2025-08-27,61.62,4.19,39.75%,1.96,14.080,12.812,"2,357",29.92%,57.56%  (  -0.04%),28.07%,"56,465",9,4,4,88,Specialty Retail,
BURL,USA,280.98,2025-08-28,57.28,6.69,8.49%,1.64,8.365,8.441,"1,325",28.08%,46.47%  (  -0.57%),53.50%,"38,216",10,5,5,70,Apparel Retail,
HRL,USA,28.82,2025-08-28,49.11,0.46,-4.17%,1.33,5.410,4.330,845,16.11%,28.23%  (  -0.27%),36.58%,"46,998",9,4,4,72,Packaged Foods,
BBWI,USA,31.92,2025-08-28,61.75,0.99,-2.13%,0.92,9.885,9.733,"1,192",38.94%,56.96%  (  +0.85%),58.23%,"232,864",4,5,5,80,Specialty Retail,
DG,USA,110.49,2025-08-28,45.36,2.45,21.94%,0.59,9.642,7.876,"1,782",24.23%,44.05%  (  +0.33%),43.89%,"173,335",5,4,4,76,Discount Stores,
DKS,USA,225.25,2025-08-28,59.19,5.55,8.32%,1.33,9.418,6.676,"2,781",27.76%,44.01%  (  -0.83%),31.98%,"102,174",9,4,4,75,Specialty Retail,
S,USA,16.95,2025-08-28,47.08,0.61,-17.49%,6.52,13.784,10.404,"6,777",49.80%,61.82%  (  -0.81%),55.37%,"288,185",5,4,4,78,Software - Infrastructure,
AFRM,USA,77.11,2025-08-28,56.85,3.52,27.66%,8.27,14.471,13.474,"5,587",57.47%,83.28%  (  +4.40%),40.52%,"473,190",10,4,4,75,Software - Infrastructure,
IREN,Australia,22.37,2025-08-28,67.28,1.60,97.11%,14.68,12.019,14.036,"18,118",74.19%,108.68%  (  -7.44%),48.50%,"1,783,988",10,4,4,82,Capital Markets,
MRVL,USA,74.89,2025-08-28,50.69,2.83,-9.52%,9.93,9.933,10.350,"13,276",43.26%,64.90%  (  -0.37%),42.46%,"1,180,055",9,5,5,85,Semiconductors,
DELL,USA,131.53,2025-08-28,50.00,3.74,15.86%,0.92,8.993,8.282,"7,627",36.88%,50.14%  (  +0.64%),34.74%,"625,732",6,4,4,85,Computer Hardware,
BABA,USA,121.53,2025-08-29,52.43,3.27,9.50%,1.97,5.027,5.665,"61,620",31.03%,43.07%  (  +0.48%),31.82%,"2,459,358",7,5,5,85,Internet Retail,
SIG,Bermuda,91.20,2025-09-02,66.99,3.17,27.82%,0.56,12.269,15.086,"3,196",43.60%,69.97%  (  +2.96%),72.12%,"21,675",7,4,4,80,Luxury Goods,
ZS,USA,270.69,2025-09-02,41.83,7.10,16.36%,16.55,9.207,10.349,"1,152",25.16%,54.87%  (  +1.19%),59.96%,"128,928",4,5,5,85,Software - Infrastructure,
DLTR,USA,112.49,2025-09-03,51.16,2.33,34.00%,0.95,12.226,8.826,"1,293",15.62%,45.02%  (  +1.46%),30.57%,"227,444",7,4,4,65,Discount Stores,
CRM,USA,247.42,2025-09-03,47.73,5.80,-15.11%,6.13,7.884,8.432,"10,450",25.64%,44.01%  (  -1.36%),62.62%,"615,610",6,4,4,90,Software - Application,"ORCL, 0.81(12M)"
CRDO,Cayman Islands,122.56,2025-09-03,62.04,6.63,76.38%,48.16,22.127,19.143,"2,139",65.56%,100.20%  (  +4.69%),56.61%,"153,250",9,5,5,95,Semiconductors,
RH,USA,227.02,2025-09-04,53.20,13.39,-17.30%,1.30,14.108,17.314,"2,870",68.48%,88.48%  (  +0.65%),55.68%,"88,331",4,4,4,80,Specialty Retail,
KR,USA,68.28,2025-09-05,38.99,1.51,3.20%,0.31,5.501,5.676,"1,729",23.54%,30.03%  (  +0.06%),50.27%,"209,189",7,4,4,75,Grocery Stores,
AVAV,USA,248.20,2025-09-09,50.20,10.51,34.42%,15.10,13.534,13.430,519,34.14%,65.65%  (  -0.03%),80.56%,"35,029",9,5,5,85,Aerospace & Defense,
ORCL,USA,235.69,2025-09-15,45.49,6.93,29.54%,11.54,8.764,10.514,"7,260",31.07%,52.69%  (  -0.12%),72.37%,"916,243",6,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
KMX,USA,61.26,2025-09-25,57.30,1.67,-15.65%,0.34,10.141,14.283,893,31.17%,41.70%  (  +0.47%),39.19%,"64,267",5,4,4,85,Auto & Truck Dealerships,
ACN,Ireland,255.79,2025-09-25,44.82,5.83,-20.58%,2.33,5.945,8.416,751,28.09%,36.49%  (  -0.40%),66.38%,"120,507",9,4,4,95,Information Technology Services,
COST,USA,946.16,2025-09-25,41.56,15.36,-2.98%,1.56,3.594,5.874,"8,852",16.16%,25.54%  (  +0.70%),33.41%,"267,913",4,4,4,92,Discount Stores,
NKE,USA,78.28,2025-09-25,60.62,1.81,11.18%,2.49,8.696,0.000,"6,547",24.38%,30.52%  (  -2.02%),23.62%,"1,443,895",8,4,4,55,Footwear & Accessories,"UA, 0.88(6M)"
MU,USA,117.11,2025-09-25,49.95,4.07,17.03%,3.88,10.313,12.444,"16,947",41.27%,54.21%  (  +0.95%),34.69%,"1,658,627",7,5,5,88,Semiconductors,
CCL,Panama,32.10,2025-09-26,68.13,0.85,30.76%,1.61,5.606,0.000,"24,584",31.82%,42.01%  (  +1.04%),18.79%,"1,341,990",10,5,5,96,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,10.68,2025-09-26,64.92,0.57,55.99%,71.03,0.000,17.067,"1,376",57.67%,75.39%  (  +3.38%),73.57%,"248,936",10,5,5,0,Uranium,
LEVI,USA,22.13,2025-10-01,69.59,0.55,24.67%,1.38,11.735,0.000,634,25.40%,34.19%  (  +0.49%),13.77%,"53,146",9,4,5,85,Apparel Manufacturing,
STZ,USA,159.46,2025-10-02,35.97,4.06,-15.33%,2.79,5.315,0.000,"1,314",26.49%,31.17%  (  -0.25%),37.01%,"130,657",8,4,4,65,Beverages - Brewers,
PEP,USA,146.88,2025-10-09,54.19,2.45,1.29%,2.19,3.516,0.000,"1,873",29.25%,20.99%  (  +0.31%),28.98%,"493,689",8,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
DAL,USA,61.15,2025-10-09,62.94,1.85,11.12%,0.65,7.592,0.000,"4,890",39.96%,43.12%  (  +1.02%),21.10%,"960,373",6,5,5,96,Airlines,"UAL, 0.94(6M)"
11:12:25 AM,,,,,,,,,,,,,,,,,,,,
