SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
MTCH,USA,29.19,2025-05-06,42.65,1.42,-13.53%,2.10,8.552,12.567,"12,344",45.28%,54.98%  (  -4.94%),81.28%,"199,424",9,4,4,68
EXE,USA,103.80,2025-04-29,46.45,4.16,14.11%,5.68,4.089,9.282,"4,282",42.89%,36.74%  (  -13.13%),63.53%,"236,258",10,5,5,70
DD,USA,61.95,2025-05-07,33.25,3.67,-22.64%,2.09,5.627,10.099,"4,088",64.27%,41.94%  (  -30.09%),48.14%,"114,757",5,4,4,80
AMCR,Jersey,9.02,2025-04-29,38.15,0.32,-12.15%,0.96,6.080,8.593,"2,016",31.17%,33.21%  (  -15.36%),49.81%,"86,267",10,5,4,70
NCLH,Bermuda,18.39,2025-05-07,44.63,1.46,-17.10%,0.86,8.334,16.558,"25,287",84.90%,71.95%  (  -28.63%),57.25%,"510,492",10,4,4,80
AKAM,USA,76.35,2025-05-08,43.32,3.56,-19.10%,2.80,10.445,13.223,"1,605",52.48%,57.26%  (  -5.82%),82.93%,"139,836",6,4,4,80
LSCC,USA,46.44,2025-05-05,39.33,4.39,-15.22%,12.55,12.931,18.733,"1,132",95.85%,72.93%  (  -24.85%),58.99%,"17,023",9,5,5,65
ERJ,USA,43.10,2025-05-06,39.31,2.32,15.79%,1.23,8.588,14.560,820,59.23%,55.69%  (  -7.64%),75.60%,"39,064",5,4,4,85
YUMC,USA,46.16,2025-05-05,38.44,2.19,8.06%,1.53,9.275,14.969,"1,152",44.43%,56.98%  (  -17.16%),66.73%,"61,795",8,5,4,85
SBUX,USA,88.68,2025-04-29,39.55,4.37,-6.14%,2.79,6.520,10.540,"35,143",57.92%,44.95%  (  -21.55%),53.96%,"624,821",9,4,4,65
RITM,USA,10.36,2025-04-29,34.07,0.44,-7.71%,1.14,5.628,11.342,"5,368",34.99%,37.34%  (  -6.09%),78.37%,"95,382",6,5,5,85
BGC,USA,8.47,2025-05-07,44.05,0.51,-9.72%,1.81,12.242,12.693,"1,709",58.89%,50.90%  (  -20.42%),58.64%,"13,163",7,4,4,80
NVO,USA,65.09,2025-05-07,33.56,3.08,-39.70%,5.20,6.524,12.897,"66,128",47.79%,58.06%  (  -12.93%),72.84%,"477,126",6,4,4,88
TEVA,USA,14.16,2025-05-07,34.93,0.78,-19.97%,0.98,8.163,14.587,"72,506",46.38%,61.15%  (  -10.58%),76.32%,"788,955",7,5,4,65
