SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
RBRK,USA,62.85,2025-03-13,38.32,4.20,14.49,13.880,20.868,739,106.04%  (  +6.08%),100.00%,50.78%,"36,389",6,5,5,75
JBL,USA,143.14,2025-03-13,28.52,4.66,0.57,9.320,11.988,732,47.99%  (  -1.27%),93.46%,34.90%,"36,289",9,5,5,80
STNE,Cayman Islands,9.28,2025-03-18,48.88,0.39,2.79,10.284,12.939,"2,152",64.03%  (  +1.33%),32.90%,40.22%,"145,774",4,4,4,85
CNM,USA,47.53,2025-03-19,26.87,1.54,1.31,11.130,8.587,252,52.02%  (  -4.50%),66.73%,22.59%,"9,819",6,4,4,72
KBH,USA,61.95,2025-03-19,43.85,1.98,0.65,8.274,9.363,196,47.64%  (  -2.31%),81.22%,32.47%,"60,304",5,4,4,80
MU,USA,94.34,2025-03-20,48.38,5.17,3.61,11.304,13.567,"121,697",67.34%  (  -1.89%),82.98%,61.71%,"1,779,445",7,5,5,70
ACN,Ireland,348.26,2025-03-20,31.67,8.18,3.28,6.067,7.272,"1,304",36.83%  (  +0.17%),81.98%,24.84%,"72,796",10,4,4,78
OKLO,USA,30.29,2025-03-24,39.81,5.08,-,10.810,26.734,"29,676",136.18%  (  +1.35%),52.00%,157.32%,"337,058",7,5,4,78
BRZE,USA,36.48,2025-03-26,35.93,1.80,6.69,16.016,17.544,39,62.65%  (  -0.88%),58.06%,45.45%,"11,128",5,5,5,78
CCL,Panama,22.34,2025-04-01,34.47,1.08,1.16,8.400,11.149,"56,384",55.44%  (  -1.80%),82.46%,44.49%,"1,151,096",8,4,5,75
LULU,USA,349.53,2025-04-01,34.15,13.02,4.36,9.874,7.880,"6,527",56.75%  (  -1.95%),83.11%,33.05%,"172,096",9,4,5,88
LEVI,USA,16.66,2025-04-03,37.80,0.68,1.04,7.756,12.606,"1,629",43.89%  (  -0.96%),63.54%,38.11%,"35,625",9,4,4,78
STZ,USA,174.18,2025-04-03,44.73,5.04,3.09,3.710,0.000,"2,813",34.87%  (  -0.87%),95.91%,28.36%,"93,780",10,4,4,70
DAL,USA,56.77,2025-04-09,34.84,2.53,0.59,6.093,0.000,"43,983",43.40%  (  -7.28%),62.07%,38.50%,"761,303",7,5,5,85
MS,USA,123.75,2025-04-11,35.89,4.04,1.89,3.448,0.000,"21,772",33.41%  (  -2.48%),79.55%,29.50%,"558,180",5,4,4,85
JPM,USA,251.53,2025-04-11,37.10,6.37,2.49,3.236,0.000,"54,520",27.45%  (  -2.76%),70.54%,23.30%,"712,842",7,4,5,88
WFC,USA,74.16,2025-04-11,39.36,2.08,1.93,4.088,0.000,"55,502",34.07%  (  -1.97%),82.07%,22.47%,"1,055,882",6,4,4,80
STT,USA,92.54,2025-04-11,33.67,2.47,1.26,5.230,0.000,"1,174",31.77%  (  -1.68%),83.77%,24.20%,"32,678",5,4,4,85
MTB,USA,178.20,2025-04-14,25.72,4.52,2.19,4.436,0.000,396,32.31%  (  -1.57%),70.18%,20.20%,"9,393",6,4,4,75
GS,USA,593.07,2025-04-14,38.75,18.74,1.46,3.705,0.000,"25,692",32.27%  (  -3.41%),80.96%,26.18%,"250,810",7,4,4,82
C,USA,72.96,2025-04-15,33.93,2.47,0.80,3.596,0.000,"144,896",33.52%  (  -2.59%),72.26%,30.47%,"1,743,932",4,5,5,85
BAC,USA,42.29,2025-04-15,32.77,1.21,1.62,3.660,0.000,"253,549",29.77%  (  -5.70%),66.71%,27.02%,"2,594,525",7,5,5,82
PNC,USA,180.47,2025-04-15,30.91,4.55,2.11,3.861,0.000,"1,419",27.31%  (  -2.16%),59.35%,21.77%,"48,146",8,4,4,80
USB,USA,44.67,2025-04-16,34.74,1.12,1.65,3.938,0.000,"13,989",32.00%  (  +3.67%),51.05%,19.74%,"222,174",4,4,5,82
CFG,USA,43.34,2025-04-16,35.42,1.37,1.52,4.379,0.000,"1,037",36.07%  (  +0.03%),67.52%,23.31%,"66,654",5,4,4,80
DFS,USA,180.94,2025-04-16,39.27,6.69,1.92,3.771,0.000,856,50.41%  (  -1.41%),80.52%,34.12%,"41,027",7,4,4,80
NDAQ,USA,78.80,2025-04-16,42.37,1.80,6.13,5.387,0.000,"2,118",25.27%  (  -0.84%),79.53%,20.65%,"40,965",8,4,4,77
THC,USA,126.02,2025-04-16,41.23,6.09,0.58,9.405,0.000,"2,660",45.70%  (  -1.22%),58.46%,45.15%,"26,166",5,5,5,85
EFX,USA,244.92,2025-04-16,43.16,6.14,5.35,5.463,0.000,81,33.22%  (  -1.33%),53.76%,31.52%,"5,602",6,5,5,70
KMI,USA,26.73,2025-04-16,45.84,0.74,3.94,2.685,0.000,"18,596",31.54%  (  +0.36%),100.00%,34.03%,"588,928",9,4,4,80
LBRT,USA,15.73,2025-04-16,30.94,0.83,0.59,5.345,0.000,127,49.35%  (  +0.24%),80.86%,52.04%,"36,114",7,4,4,72
AA,USA,32.38,2025-04-16,37.59,1.54,0.68,4.278,0.000,"11,741",51.56%  (  -4.08%),57.33%,47.52%,"262,366",4,4,5,73
STLD,USA,127.72,2025-04-16,45.00,4.52,1.09,5.917,0.000,"4,869",38.44%  (  -1.06%),54.54%,31.67%,"33,510",10,4,4,80
SNV,USA,48.44,2025-04-16,27.45,1.66,1.99,3.398,0.000,227,42.16%  (  +2.66%),64.54%,24.39%,"9,888",9,4,4,75
BKR,USA,42.32,2025-04-16,35.83,1.36,1.51,6.602,0.000,"2,862",33.48%  (  -0.74%),75.41%,31.77%,"130,124",9,5,5,88
HBAN,USA,15.38,2025-04-17,32.44,0.44,1.89,3.546,0.000,580,31.15%  (  -3.42%),57.42%,22.07%,"72,576",7,4,4,80
RF,USA,22.09,2025-04-17,28.99,0.61,2.14,4.331,0.000,621,33.65%  (  -3.31%),66.33%,21.27%,"103,865",6,4,4,80
FITB,USA,40.45,2025-04-17,29.49,1.08,1.95,4.115,0.000,"2,593",31.03%  (  -1.31%),62.43%,20.06%,"81,019",5,4,4,80
KEY,USA,16.26,2025-04-17,35.22,0.56,1.96,4.626,0.000,"18,152",38.68%  (  +2.17%),63.26%,26.54%,"207,660",5,4,4,70
AXP,USA,284.18,2025-04-17,32.23,7.77,2.69,4.644,0.000,"9,290",31.95%  (  -1.72%),81.83%,21.67%,"214,236",7,4,4,85
TFC,USA,43.11,2025-04-17,32.37,1.18,2.30,3.911,0.000,"10,611",30.51%  (  -0.42%),61.18%,20.75%,"212,896",5,4,4,70
TSM,USA,184.28,2025-04-17,40.87,7.58,10.61,3.013,0.000,"100,523",43.03%  (  -2.20%),41.03%,57.48%,"1,672,329",10,5,5,85
NUE,USA,132.49,2025-04-17,48.87,4.66,0.99,5.085,0.000,"8,970",40.18%  (  -1.17%),84.90%,33.74%,"130,125",9,4,4,80
PNR,Ireland,91.19,2025-04-17,32.82,2.28,3.68,6.385,0.000,578,26.65%  (  +0.67%),44.70%,20.16%,"8,965",5,4,4,80
ALK,USA,66.30,2025-04-17,39.37,2.99,0.70,7.083,0.000,"8,635",53.25%  (  -1.39%),94.51%,41.61%,"141,650",9,5,5,85
ISRG,USA,568.02,2025-04-17,45.27,16.15,24.26,5.903,0.000,"2,526",29.87%  (  -1.29%),56.18%,24.86%,"75,287",9,5,5,78
DHR,USA,210.56,2025-04-17,45.64,5.32,6.30,4.766,0.000,"7,365",27.58%  (  -0.01%),72.56%,34.69%,"115,604",7,4,4,70
BX,USA,152.04,2025-04-17,33.59,5.50,14.87,4.033,0.000,"16,222",36.60%  (  -2.98%),81.08%,30.42%,"281,856",7,4,4,88
UNP,USA,243.61,2025-04-17,48.79,4.51,6.13,3.214,0.000,"2,080",23.27%  (  +0.12%),65.71%,21.88%,"100,462",9,4,4,88
BANC,USA,14.14,2025-04-17,30.18,0.47,1.26,9.683,0.000,365,43.56%  (  -0.12%),55.16%,26.30%,"20,515",8,5,5,70
HOMB,USA,28.93,2025-04-17,40.36,0.70,3.93,8.284,0.000,5,41.80%  (  +2.57%),56.35%,20.33%,"1,179",8,4,4,80
INFY,USA,20.06,2025-04-17,30.09,0.39,4.36,4.935,0.000,"1,909",31.40%  (  -0.96%),66.26%,16.13%,"92,804",7,4,4,88
PPG,USA,114.09,2025-04-17,46.92,2.84,1.49,3.979,0.000,"11,991",29.32%  (  +0.64%),93.16%,30.49%,"41,207",8,4,4,80
KNX,USA,48.68,2025-04-17,33.51,1.56,1.06,7.766,0.000,627,36.39%  (  -3.80%),65.36%,28.57%,"23,098",6,4,4,70
ALLY,USA,35.50,2025-04-17,38.99,1.20,0.67,6.757,0.000,"1,885",37.35%  (  -0.02%),52.33%,30.25%,"117,436",9,4,4,70
SLB,,39.43,2025-04-18,40.98,1.25,1.48,3.361,0.000,"28,090",33.19%  (  +1.42%),56.04%,29.11%,"673,010",4,4,5,80
08:42:04,,,,,,,,,,,,,,,,,
