SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
ANF,USA,0,2025-08-27,,,,0.96,13.485,15.400,"9,479",44.97%,72.57%  (  +0.61%),59.29%,"151,422",6,4,4,76,Apparel Retail,
PSTG,USA,0,2025-08-27,,,,5.98,14.707,15.522,920,39.98%,59.58%  (  +3.10%),53.81%,"78,315",9,5,5,78,Computer Hardware,
NTNX,USA,0,2025-08-27,,,,7.74,13.042,14.172,"2,196",31.13%,54.18%  (  +0.44%),65.19%,"113,415",5,5,5,85,Software - Infrastructure,
URBN,USA,0,2025-08-27,,,,1.25,10.348,12.698,"3,812",36.98%,62.11%  (  -2.18%),66.98%,"27,649",5,4,4,88,Apparel Retail,
NTAP,USA,0,2025-08-27,,,,3.33,9.286,9.021,"2,185",22.26%,41.87%  (  +0.46%),45.25%,"35,328",5,4,4,78,Software - Infrastructure,
NVDA,USA,0,2025-08-27,,,,29.83,8.854,8.500,"2,345,451",23.76%,43.41%  (  +1.63%),26.62%,"19,786,467",6,5,5,89,Semiconductors,
A,USA,0,2025-08-27,,,,5.16,7.945,8.762,"1,612",31.96%,33.65%  (  +0.92%),34.57%,"28,652",7,4,5,88,Diagnostics & Research,
FIVE,USA,0,2025-08-27,,,,1.89,14.080,14.400,"1,471",29.06%,53.72%  (  -1.22%),22.21%,"57,612",7,4,4,88,Specialty Retail,
CRDO,Cayman Islands,0,2025-08-27,,,,47.60,22.127,25.746,"8,244",55.65%,99.29%  (  +7.50%),55.50%,"150,171",4,5,5,90,Semiconductors,
CHWY,USA,0,2025-08-27,,,,1.35,11.940,7.852,"73,148",38.01%,51.00%  (  -1.61%),31.74%,"286,650",4,5,4,,Internet Retail,
HRL,USA,0,2025-08-28,,,,1.34,5.410,6.036,"1,550",20.73%,26.10%  (  +6.58%),31.36%,"46,662",7,4,4,70,Packaged Foods,
DG,USA,0,2025-08-28,,,,0.62,9.642,9.241,"6,478",24.88%,43.78%  (  +0.92%),43.32%,"189,406",7,4,4,73,Discount Stores,
DKS,USA,0,2025-08-28,,,,1.33,9.418,9.235,"3,073",28.57%,43.46%  (  -1.91%),30.88%,"98,676",8,4,4,82,Specialty Retail,
AFRM,USA,0,2025-08-28,,,,8.34,14.471,16.750,"31,778",57.12%,75.06%  (  -2.93%),30.47%,"493,936",5,4,5,75,Software - Infrastructure,
ADSK,USA,0,2025-08-28,,,,9.71,6.319,7.258,"3,883",34.04%,35.29%  (  -1.01%),43.91%,"56,089",10,5,4,85,Software - Application,
LULU,USA,0,2025-08-28,,,,2.33,9.223,13.669,"88,697",33.69%,60.51%  (  -0.29%),70.07%,"429,544",6,4,4,75,Apparel Retail,
FRO,Cyprus,0,2025-08-29,,,,2.21,10.959,12.741,"2,422",42.29%,49.27%  (  +4.00%),50.65%,"66,498",5,4,4,76,Oil & Gas Midstream,
PDD,USA,0,2025-09-01,,,,2.90,8.721,9.252,"72,777",25.88%,47.46%  (  +1.17%),37.63%,"1,471,296",9,4,5,65,Internet Retail,
LI,USA,0,2025-09-02,,,,1.04,9.425,11.251,"8,772",44.47%,55.18%  (  -1.71%),29.34%,"296,167",7,4,4,73,Auto Manufacturers,
BBY,USA,0,2025-09-02,,,,0.37,7.920,10.753,"11,792",29.36%,46.28%  (  -0.29%),43.62%,"146,793",5,4,4,65,Specialty Retail,
AVAV,USA,0,2025-09-03,,,,15.32,13.534,9.994,"2,507",43.68%,61.81%  (  +1.18%),70.05%,"41,168",5,5,5,94,Aerospace & Defense,
ASO,USA,0,2025-09-04,,,,0.62,9.669,12.168,611,39.96%,48.82%  (  +1.03%),38.54%,"34,874",7,4,4,70,Specialty Retail,
RH,USA,0,2025-09-04,,,,1.41,14.108,21.714,"11,358",61.14%,77.68%  (  -0.05%),44.49%,"99,198",7,4,4,75,Specialty Retail,
DOCU,USA,0,2025-09-04,,,,4.71,10.968,12.275,"9,190",38.35%,56.19%  (  +1.72%),69.27%,"125,912",5,4,4,80,Software - Application,
KR,USA,0,2025-09-05,,,,0.32,5.501,6.315,"20,337",24.06%,29.51%  (  +2.08%),48.17%,"212,480",8,4,4,85,Grocery Stores,
PL,USA,0,2025-09-08,,,,8.17,21.483,24.143,"6,919",56.31%,96.85%  (  -0.67%),18.13%,"107,372",9,5,5,79,Aerospace & Defense,
SNPS,USA,0,2025-09-09,,,,18.42,9.685,8.841,"1,525",36.19%,38.49%  (  +2.80%),28.79%,"59,990",7,5,5,83,Software - Infrastructure,
GTLB,USA,0,2025-09-09,,,,8.53,14.627,14.627,"17,320",48.97%,76.43%  (  +2.09%),76.89%,"167,953",8,4,4,78,Software - Infrastructure,
ADBE,USA,0,2025-09-10,,,,6.59,7.511,11.340,"53,265",25.62%,45.18%  (  -0.45%),80.94%,"385,727",7,4,4,94,Software - Application,
IREN,Australia,0,2025-09-10,,,,11.63,12.019,17.241,"139,746",61.28%,98.32%  (  +4.85%),28.26%,"1,841,036",9,4,4,82,Capital Markets,
SAIL,USA,0,2025-09-11,,,,12.25,7.589,19.357,"1,828",50.06%,70.50%  (  -0.73%),55.21%,"10,097",8,4,4,75,Software - Infrastructure,
RBRK,USA,0,2025-09-15,,,,17.43,18.879,19.136,"2,233",54.24%,73.88%  (  +0.95%),42.00%,"55,918",4,5,5,90,Software - Infrastructure,
ORCL,USA,0,2025-09-15,,,,11.95,8.764,11.428,"115,885",32.69%,52.26%  (  +4.81%),71.39%,"984,914",7,4,4,80,Software - Infrastructure,"MSFT, 0.86(6M)"
DRI,USA,0,2025-09-18,,,,2.01,5.577,0.000,859,17.51%,26.59%  (  -0.11%),35.52%,"23,958",9,4,5,85,Restaurants,
TCOM,USA,0,2025-09-18,,,,5.28,11.305,10.130,"1,129",30.50%,37.90%  (  +3.39%),23.91%,"70,787",9,5,5,80,Travel Services,
JEF,USA,0,2025-09-24,,,,1.44,7.531,0.000,"1,237",25.58%,32.14%  (  +0.41%),16.75%,"46,162",5,4,4,0,Capital Markets,
ACN,Ireland,0,2025-09-25,,,,2.23,5.945,0.000,"37,202",28.07%,29.04%  (  -0.97%),41.01%,"119,651",6,4,4,95,Information Technology Services,
COST,USA,0,2025-09-25,,,,1.62,3.594,0.000,"34,593",14.70%,19.00%  (  +1.02%),8.07%,"269,152",5,4,4,80,Discount Stores,
NKE,USA,0,2025-09-25,,,,2.46,8.696,0.000,"63,475",28.58%,27.96%  (  -0.14%),17.58%,"1,629,125",6,4,4,60,Footwear & Accessories,"UA, 0.88(6M)"
MU,USA,0,2025-09-25,,,,4.11,10.313,0.000,"115,759",42.86%,41.84%  (  +0.56%),10.50%,"1,786,914",9,5,5,90,Semiconductors,
JBL,USA,0,2025-09-25,,,,0.82,9.055,0.000,"1,352",31.82%,32.77%  (  +2.44%),23.58%,"34,745",6,5,5,80,Electronic Components,
UEC,USA,0,2025-09-26,,,,67.94,0.000,0.000,"20,618",55.54%,66.05%  (  +2.26%),50.85%,"307,326",9,5,5,0,Uranium,
CCL,Panama,0,2025-09-26,,,,1.53,5.606,0.000,"38,299",28.38%,34.74%  (  -0.79%),5.38%,"1,360,049",10,4,5,96,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
10:22:11 PM,,,,,,,,,,,,,,,,,,,,
